"they<br><span style='font-size:14px'>Shoppers who would ignore an item at its original price suddenly want it, not because <b>they</b> need it but because they feel they would be foolish to miss the opportunity.</span>",pron. ★他们 / 她们 / 它们 / 人们<br>按原价时根本不会看一眼的购物者，突然就想要了，不是因为需要，而是因为觉得错过这个机会太蠢。<br><i>2021年12月 第1套 · 仔细阅读 · Passage One</i><br>—,A
"for<br><span style='font-size:14px'>Nature reserves are usually drawn on maps as if the land were empty, but in most cases people have lived on it <b>for</b> generations.</span>",prep./conj. ★为了 / 因为 / 给 / 持续<br>自然保护区在地图上画出来时，那片土地仿佛是空的，但在多数情况下，人们已经在那里世代居住。<br><i>2021年12月 第1套 · 仔细阅读 · Passage Two</i><br>for the sake of 为了,A
"are<br><span style='font-size:14px'>Experiments show that customers <b>are</b> more likely to buy when they can see the comparison, even when the so-called original price was never actually charged.</span>",v./aux. ★是 / 存在(be 的复数)<br>实验表明，只要能看到对照，顾客就更可能下单，哪怕那个所谓的原价其实从未真正收过。<br><i>2021年12月 第1套 · 仔细阅读 · Passage One</i><br>—,A
"who<br><span style='font-size:14px'>Shoppers <b>who</b> would ignore an item at its original price suddenly want it, not because they need it but because they feel they would be foolish to miss the opportunity.</span>",pron. ★谁 / …的人 / 他/她<br>按原价时根本不会看一眼的购物者，突然就想要了，不是因为需要，而是因为觉得错过这个机会太蠢。<br><i>2021年12月 第1套 · 仔细阅读 · Passage One</i><br>—,A
"not<br><span style='font-size:14px'>Shoppers who would ignore an item at its original price suddenly want it, <b>not</b> because they need it but because they feel they would be foolish to miss the opportunity.</span>",adv. ★不 / 没有 / 并非<br>按原价时根本不会看一眼的购物者，突然就想要了，不是因为需要，而是因为觉得错过这个机会太蠢。<br><i>2021年12月 第1套 · 仔细阅读 · Passage One</i><br>not at all 一点也不,A
"have<br><span style='font-size:14px'>Nature reserves are usually drawn on maps as if the land were empty, but in most cases people <b>have</b> lived on it for generations.</span>",v./aux. ★有 / 使 / 吃 / 已经(构成完成时)<br>自然保护区在地图上画出来时，那片土地仿佛是空的，但在多数情况下，人们已经在那里世代居住。<br><i>2021年12月 第1套 · 仔细阅读 · Passage Two</i><br>have to 必须,A
"has<br><span style='font-size:14px'>Interest, meanwhile, <b>has</b> a practical value that is easy to overlook: students who are genuinely curious study harder, absorb material faster, and are more willing to persist when a course becomes difficult.</span>",v./aux. ★有(have 的第三人称单数)<br>与此同时，兴趣有一种容易被忽视的实用价值：真正好奇的学生学得更投入、吸收更快，也更愿意在课程变难时坚持下去。<br><i>2021年6月 第1套 · 仔细阅读 · Passage Two</i><br>has to 必须,A
"than<br><span style='font-size:14px'>A study that examined millions of messages shared online reached an uncomfortable conclusion: false information travels faster, further and deeper <b>than</b> accurate information.</span>",conj./prep. ★比 / 与…相比<br>一项研究了数百万条网络转发信息的研究，得出了一个令人不安的结论：虚假信息比真实信息传得更快、更远、更深。<br><i>2021年6月 第1套 · 仔细阅读 · Passage One</i><br>more than 超过,A
"more<br><span style='font-size:14px'>Experiments show that customers are <b>more</b> likely to buy when they can see the comparison, even when the so-called original price was never actually charged.</span>",adj./adv. ★更多的 / 更 / 另外的<br>实验表明，只要能看到对照，顾客就更可能下单，哪怕那个所谓的原价其实从未真正收过。<br><i>2021年12月 第1套 · 仔细阅读 · Passage One</i><br>more or less 差不多,A
"their<br><span style='font-size:14px'>When a reserve is created, those residents may suddenly find that the activities which fed <b>their</b> families are now forbidden, while the animals they were asked to protect destroy their crops.</span>",pron. ★他们的 / 她们的 / 它们的<br>保护区一设立，这些居民可能突然发现，养活一家人的营生现在被禁止了，而他们被要求保护的动物却毁了他们的庄稼。<br><i>2021年12月 第1套 · 仔细阅读 · Passage Two</i><br>—,A
